COUNTY,RISK_RATNG
Autauga,Relatively Low
Baldwin,Relatively High
Barbour,Relatively Low
Bibb,Very Low
Blount,Relatively Low
Bullock,Very Low
Butler,Relatively Low
Calhoun,Relatively Moderate
Chambers,Very Low
Cherokee,Very Low
Chilton,Relatively Low
Choctaw,Relatively Low
Clarke,Relatively Low
Clay,Very Low
Cleburne,Very Low
Coffee,Relatively Moderate
Colbert,Relatively Low
Conecuh,Very Low
Coosa,Very Low
Covington,Relatively Moderate
Crenshaw,Very Low
Cullman,Relatively Low
Dale,Relatively Low
Dallas,Relatively Low
DeKalb,Relatively Low
Elmore,Relatively Low
Escambia,Relatively Moderate
Etowah,Relatively Low
Fayette,Very Low
Franklin,Relatively Low
Geneva,Relatively Low
Greene,Very Low
Hale,Very Low
Henry,Relatively Low
Houston,Relatively Moderate
Jackson,Relatively Low
Jefferson,Relatively High
Lamar,Very Low
Lauderdale,Relatively Low
Lawrence,Relatively Low
Lee,Relatively Low
Limestone,Relatively Low
Lowndes,Very Low
Macon,Very Low
Madison,Relatively Moderate
Marengo,Very Low
Marion,Relatively Low
Marshall,Relatively Moderate
Mobile,Relatively High
Monroe,Relatively Low
Montgomery,Relatively Moderate
Morgan,Relatively Moderate
Perry,Very Low
Pickens,Very Low
Pike,Relatively Low
Randolph,Very Low
Russell,Very Low
St. Clair,Relatively Low
Shelby,Relatively Moderate
Sumter,Relatively Low
Talladega,Relatively Low
Tallapoosa,Relatively Low
Tuscaloosa,Relatively Moderate
Walker,Relatively Low
Washington,Relatively Low
Wilcox,Very Low
Winston,Very Low
Aleutians East,Very Low
Aleutians West,Very Low
Anchorage,Relatively Moderate
Bethel,Very Low
Bristol Bay,Very Low
Chugach,Very Low
Copper River,Very Low
Denali,Very Low
Dillingham,Very Low
Fairbanks North Star,Relatively Low
Haines,Very Low
Hoonah-Angoon,Very Low
Juneau,Very Low
Kenai Peninsula,Relatively Moderate
Ketchikan Gateway,Very Low
Kodiak Island,Relatively Low
Kusilvak,Very Low
Lake and Peninsula,Very Low
Matanuska-Susitna,Relatively Moderate
Nome,Very Low
North Slope,Very Low
Northwest Arctic,Very Low
Petersburg,Very Low
Prince of Wales-Hyder,Very Low
Sitka,Very Low
Skagway,Very Low
Southeast Fairbanks,Relatively Low
Wrangell,Very Low
Yakutat,Very Low
Yukon-Koyukuk,Very Low
Apache,Very Low
Cochise,Relatively Moderate
Coconino,Relatively Moderate
Gila,Relatively Moderate
Graham,Relatively Low
Greenlee,Very Low
La Paz,Relatively Low
Maricopa,Relatively High
Mohave,Relatively Moderate
Navajo,Relatively Low
Pima,Relatively Moderate
Pinal,Relatively Moderate
Santa Cruz,Relatively Low
Yavapai,Relatively Moderate
Yuma,Relatively Moderate
Arkansas,Relatively Low
Ashley,Relatively Low
Baxter,Relatively Low
Benton,Relatively Moderate
Boone,Relatively Low
Bradley,Very Low
Calhoun,Very Low
Carroll,Relatively Low
Chicot,Relatively Low
Clark,Relatively Low
Clay,Relatively Low
Cleburne,Relatively Low
Cleveland,Very Low
Columbia,Relatively Low
Conway,Relatively Low
Craighead,Relatively Moderate
Crawford,Relatively Low
Crittenden,Relatively Low
Cross,Relatively Low
Dallas,Very Low
Desha,Very Low
Drew,Very Low
Faulkner,Relatively Moderate
Franklin,Relatively Low
Fulton,Very Low
Garland,Relatively Moderate
Grant,Very Low
Greene,Relatively Low
Hempstead,Relatively Low
Hot Spring,Relatively Low
Howard,Very Low
Independence,Relatively Low
Izard,Relatively Low
Jackson,Relatively Low
Jefferson,Relatively Moderate
Johnson,Relatively Low
Lafayette,Very Low
Lawrence,Relatively Low
Lee,Relatively Low
Lincoln,Very Low
Little River,Very Low
Logan,Relatively Low
Lonoke,Relatively Low
Madison,Relatively Low
Marion,Very Low
Miller,Relatively Low
Mississippi,Relatively Moderate
Monroe,Relatively Low
Montgomery,Very Low
Nevada,Very Low
Newton,Very Low
Ouachita,Relatively Low
Perry,Very Low
Phillips,Relatively Low
Pike,Very Low
Poinsett,Relatively Low
Polk,Very Low
Pope,Relatively Moderate
Prairie,Relatively Low
Pulaski,Relatively Moderate
Randolph,Relatively Low
St. Francis,Relatively Low
Saline,Relatively Low
Scott,Very Low
Searcy,Very Low
Sebastian,Relatively Moderate
Sevier,Very Low
Sharp,Relatively Low
Stone,Relatively Low
Union,Relatively Low
Van Buren,Relatively Low
Washington,Relatively Moderate
White,Relatively Moderate
Woodruff,Relatively Low
Yell,Relatively Low
Alameda,Very High
Alpine,Very Low
Amador,Relatively Low
Butte,Relatively High
Calaveras,Relatively Moderate
Colusa,Relatively Moderate
Contra Costa,Very High
Del Norte,Relatively Moderate
El Dorado,Relatively Moderate
Fresno,Relatively High
Glenn,Relatively Moderate
Humboldt,Relatively High
Imperial,Relatively High
Inyo,Relatively Low
Kern,Relatively High
Kings,Relatively Moderate
Lake,Relatively Moderate
Lassen,Relatively Low
Los Angeles,Very High
Madera,Relatively Moderate
Marin,Relatively High
Mariposa,Relatively Low
Mendocino,Relatively Moderate
Merced,Relatively Moderate
Modoc,Relatively Low
Mono,Relatively Low
Monterey,Relatively High
Napa,Relatively High
Nevada,Relatively Moderate
Orange,Very High
Placer,Relatively Moderate
Plumas,Relatively Low
Riverside,Very High
Sacramento,Relatively High
San Benito,Relatively Moderate
San Bernardino,Very High
San Diego,Very High
San Francisco,Relatively High
San Joaquin,Relatively High
San Luis Obispo,Relatively Moderate
San Mateo,Relatively High
Santa Barbara,Relatively High
Santa Clara,Very High
Santa Cruz,Relatively High
Shasta,Relatively Moderate
Sierra,Very Low
Siskiyou,Relatively Moderate
Solano,Relatively High
Sonoma,Relatively High
Stanislaus,Relatively High
Sutter,Relatively High
Tehama,Relatively Moderate
Trinity,Relatively Low
Tulare,Relatively High
Tuolumne,Relatively Moderate
Ventura,Relatively High
Yolo,Relatively High
Yuba,Relatively Moderate
Adams,Relatively Moderate
Alamosa,Very Low
Arapahoe,Relatively Moderate
