County,Temperature
Autauga County,67.6
Baldwin County,69.4
Barbour County,67.8
Bibb County,66.7
Blount County,64.7
Bullock County,67.2
Butler County,67.8
Calhoun County,64.9
Chambers County,64.9
Cherokee County,64
Chilton County,66.7
Choctaw County,68
Clarke County,68.9
Clay County,64.3
Cleburne County,64
Coffee County,68.8
Colbert County,64.8
Conecuh County,68.7
Coosa County,65.8
Covington County,68.7
Crenshaw County,67.5
Cullman County,64.7
Dale County,69.1
Dallas County,68
DeKalb County,62.8
Elmore County,67.1
Escambia County,68.8
Etowah County,64.7
Fayette County,65.3
Franklin County,64.2
Geneva County,69.8
Greene County,67.5
Hale County,67.6
Henry County,69.1
Houston County,70.1
Jackson County,63.4
Jefferson County,65.8
Lamar County,65.8
Lauderdale County,64.6
Lawrence County,64.5
Lee County,66.2
Limestone County,64.9
Lowndes County,68
Macon County,67.1
Madison County,64.7
Marengo County,68.4
Marion County,64.5
Marshall County,64.4
Mobile County,69.4
Monroe County,68.8
Montgomery County,67.6
Morgan County,64.9
Perry County,67.6
Pickens County,66.8
Pike County,67.6
Randolph County,64.4
Russell County,67.3
St. Clair County,64.9
Shelby County,66
Sumter County,67.8
Talladega County,65.2
Tallapoosa County,65.4
Tuscaloosa County,66.4
Walker County,65.2
Washington County,69
Wilcox County,68.5
Winston County,64.4
Apache County,48.3
Cochise County,60.6
Coconino County,51.1
Gila County,57.3
Graham County,59.9
Greenlee County,54.8
La Paz County,69.8
Maricopa County,68.6
Mohave County,60.5
Navajo County,50.4
Pima County,66.2
Pinal County,67.6
Santa Cruz County,59.3
Yavapai County,56.4
Yuma County,70
Arkansas County,66.8
Ashley County,69
Baxter County,59.8
Benton County,60.4
Boone County,59.8
Bradley County,68.3
Calhoun County,67.8
Carroll County,59.6
Chicot County,68.9
Clark County,66
Clay County,62.4
Cleburne County,62
Cleveland County,67.1
Columbia County,68
Conway County,63.8
Craighead County,63.7
Crawford County,63.5
Crittenden County,65.2
Cross County,64.4
Dallas County,66.3
Desha County,66.6
Drew County,68.1
Faulkner County,64
Franklin County,63.2
Fulton County,60
Garland County,64.9
Grant County,66
Greene County,63
Hempstead County,66.2
Hot Spring County,65.4
Howard County,64.2
Independence County,61.6
Izard County,60.4
Jackson County,62.6
Jefferson County,66.7
Johnson County,62.5
Lafayette County,68
Lawrence County,62.2
Lee County,66.6
Lincoln County,67.3
Little River County,66
Logan County,64.4
Lonoke County,66
Madison County,60.1
Marion County,59.9
Miller County,67.9
Mississippi County,64.7
Monroe County,68.3
Montgomery County,64.4
Nevada County,66.8
Newton County,59.3
Ouachita County,67.3
Perry County,64.4
Phillips County,66.7
Pike County,64.9
Poinsett County,64
Polk County,62.3
Pope County,62.8
Prairie County,67.9
Pulaski County,65.3
Randolph County,61.5
St. Francis County,65.7
Saline County,65.2
Scott County,63.6
Searcy County,59.9
Sebastian County,64.5
Sevier County,64.4
Sharp County,60.8
Stone County,60.6
Union County,68.6
Van Buren County,61.5
Washington County,61.4
White County,64.6
Woodruff County,65.6
Yell County,64.7
Alameda County,57.5
Alpine County,41.7
Amador County,55.4
Butte County,58.7
Calaveras County,55.7
Colusa County,60.7
Contra Costa County,58.9
Del Norte County,51.5
El Dorado County,51.2
Fresno County,53
Glenn County,59.1
Humboldt County,53.1
Imperial County,71.6
Inyo County,59.1
Kern County,59.8
Kings County,63.4
Lake County,55.3
Lassen County,45.7
Los Angeles County,58.1
Madera County,53.3
Marin County,54.6
Mariposa County,52.4
Mendocino County,54.4
Merced County,60.8
Modoc County,46
Mono County,41.8
Monterey County,55.9
Napa County,57.2
Nevada County,50.1
Orange County,60.5
Placer County,51.6
Plumas County,45.5
Riverside County,65.9
Sacramento County,61.3
San Benito County,55.9
San Bernardino County,64.6
San Diego County,58.8
San Francisco County,55.7
San Joaquin County,61.1
San Luis Obispo County,56.7
